ID	USER	AGENT	INTENT	ENTITIES	SLOTS
	 oui	 êtes vous connecté à votre compte ?	['autre']	[]	[{'Store name': 'Parfum moins cher'}, {'code': 'name'}, {'email': '_Email1_'}, {'code': 'amour'}, {'uppercase': 'yes'}]
	 oui	 je ne vois pas votre panier  il faut bien vous connecter	['autre']	[]	[{'Store name': 'Parfum moins cher'}, {'code': 'name'}, {'email': '_Email1_'}, {'code': 'amour'}, {'uppercase': 'yes'}, {'account_connection': 'yes'}, {'operation': 'discount'}]
	 mon panier est composé de deux articlesRéf 10413229 et 10414580	 oui mais je ne peux pas le voir car il n'est pas associé à votre compte client	['purchase']	[{'article': '10412339'}, {'article': '10414580'}]	[{'Store name': 'Parfum moins cher'}, {'code': 'name'}, {'email': '_Email1_'}, {'code': 'amour'}, {'uppercase': 'yes'}, {'account_connection': 'yes'}, {'operation': 'discount'}]
	 mais si, je me suis identifié avec l'adresse : _Email1_14   c'est sans doute la raison pour laquelle j'ai ce problème de remise, il doit y avoir un bug sur votre site.	 je n'ai aucun retour à ce sujet  vous pouvez prétendre au code sans souci  je vous invite soit à mettre à jour votre page soit à vider vos caches	['WebsiteBug']	[{'email': '_Email1_'}, {'discount': 'remise'}, {'bug': 'bug'}, {'website': 'site'}]	[{'Store name': 'Parfum moins cher'}, {'code': 'name'}, {'email': '_Email1_'}, {'code': 'amour'}, {'uppercase': 'yes'}, {'account_connection': 'yes'}, {'operation': 'discount'}]
	 alors je vais me déconnecter et recommencer la manip	 oui je vous y invite  rechargez bien votre page avant de revenir vers votre compte avec ce nouveau mot de passe provisoire.	['WebsiteBug']	[{'connection': 'déconnecter'}, {'operation': 'manip'}]	[{'Store name': 'Parfum moins cher'}, {'code': 'name'}, {'email': '_Email1_'}, {'code': 'amour'}, {'uppercase': 'yes'}, {'account_connection': 'yes'}, {'operation': 'discount'}]
	 quel mot de passe provisoire ?20   c'est bien un bug de votre système !	 nous n'avons pas connaissance de ce problème et faisons donc remonter l'information à notre service informatique. nous vous invitons à vider le cache de votre navigateur Internet ou bien à en utiliser un différent. cela résout il votre problème ?	['WebsiteBug']	[{'pwd': 'mot de passe'}, {'bug': 'bug'}, {'website': 'système'}]	[{'Store name': 'Parfum moins cher'}, {'code': 'name'}, {'email': '_Email1_'}, {'code': 'amour'}, {'uppercase': 'yes'}, {'account_connection': 'yes'}, {'operation': 'discount'}]
	 j'ai effectué cette opération et cela n'a pas résolu le problème.   vous avez bien trouvé mon compte ?	 avez vous tenté de vous connecter à partir d'un autre navigateur ?	['WebsiteBug']	[{'operation': 'opération'}, {'account': 'compte'}]	[{'Store name': 'Parfum moins cher'}, {'code': 'name'}, {'email': '_Email1_'}, {'code': 'amour'}, {'uppercase': 'yes'}, {'account_connection': 'yes'}, {'operation': 'discount'}, {'cache': 'yes'}]
	 je vais essayer.	 vous êtes bien sur le compte _Email1_ ?	['autre']	[]	[{'Store name': 'Parfum moins cher'}, {'code': 'name'}, {'email': '_Email1_'}, {'code': 'amour'}, {'uppercase': 'yes'}, {'account_connection': 'yes'}, {'operation': 'discount'}, {'cache': 'yes'}]
	 oui parfaitement	 je n'accède pas à votre compte je suis confuse	['autre']	[]	[{'Store name': 'Parfum moins cher'}, {'code': 'name'}, {'email': '_Email1_'}, {'code': 'amour'}, {'uppercase': 'yes'}, {'account_connection': 'yes'}, {'operation': 'discount'}, {'cache': 'yes'}]
					
conv158	 bonjour, je viens de passer à l'instant ma commande qui a pour numéro 00   seulement je viens de me rendre compte que je me suis trompée etc. y a t il possibilité d'annuler celle ci etc ?	 je regarde, je vous demande un instant.  je viens de procéder à l'annulation et au remboursement de votre commande	['CancelOrder']	[{'order': '00'}, {'cancel': 'annuler'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
	 Merci beaucoup, en m'excusant.	 au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['thanks', 'goodbye']	[]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
					
conv1599	bonjour les parfums sont les vraies ?	 l'ensemble des produits proposés sur notre boutique en ligne sont garantis 100 % neufs et authentiques et proviennent directement des plus grandes marques de parfums à travers le monde ( à l'instar des parfums que vous pouvez retrouver en boutique près de chez vous ). nos colis sont régulièrement contrôlés en douane afin de vérifier qu'il ne s'agisse pas de produits contrefaits.	['ProductQuality']	[{'article': 'parfums'}]	[{'Store name': 'Parfum moins cher'}]
	d'accord merci le paiement et sécuriser ?	 oui bien sur	['payment']	[{'payment': 'paiement'}]	[{'Store name': 'Parfum moins cher'}]
	d'accord merci des renseignements bonne fin de journée	 au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['goodbye', 'thanks']	[]	[{'Store name': 'Parfum moins cher'}]
					
conv1641	bonjour, j'ai effectué une commande mais je n'ai toujours rien reçu alors que c'et par Chronopost.  00	 je regarde, je vous demande un instant.	['deliveryNews']	[{'transporter': 'Chronopost'}, {'order': '00'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
	ok merci	 votre commande a bien été expédiée par nos services le 03 . comme indiqué lors du passage de votre commande, le délai de livraison avec l'option choisie est généralement compris entre 7 et 10 jours ouvrés à partir de la date d'expédition.  https://www.chronopost.fr/tracking-no-cms/suivi-page?langue=fr&listeNumerosLT=XT25558722FR	['thanks']	[]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
	oui mais depuis lundi c'est comme ça  commande n'évolue pas etc  c'est normal ?	 ceci est normal  l'expédition est récente	['deliveryNews']	[{'status': 'évolue'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}, {'status': 'unchanged'}]
	ok d'accord je vais attendre0  je vous remercie	 au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['thanks', 'goodbye', 'oui']	[]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}, {'status': 'unchanged'}]
					
conv1644	je suis déjà client et je n'arrive pas à payer	 pourriez vous, s'il vous plaît, nous donner plus de renseignements concernant votre problème ? un message d'erreur s'affiche t il sur votre écran ? et si oui, quel est son code ? d'avance merci pour votre réponse.	['PaymentRefused']	[{'payment': 'payer'}]	[{'Store name': 'Parfum moins cher'}]
	c'est noté, il y a 1 erreur, 1 échec lors se l'authentification	 pourriez vous m'indiquer votre adresse mail s'il vous plaît ?	['PaymentRefused', 'Login']	[{'connection': 'authentification'}]	[{'Store name': 'Parfum moins cher'}, {'error': 'yes'}, {'step': 'authentification'}]
	_Email1_ lelamentin.fr	 je vous invite à vous connecter à votre compte à l'aide du mot de passe : AZERTY adresse mail : _Email1_ lelamentin.fr	['rien']	[{'email': '_Email1_'}]	[{'Store name': 'Parfum moins cher'}, {'error': 'yes'}, {'step': 'authentification'}, {'email': '_Email1_'}, {'reinit': 'yes'}]
	super.  pensez vous que je serai livrée la semaine prochaine ? je vis en Martinique et viens en métropole ce samedi pour une semaine. je demande la livraison chez mon fils à _City1_	" les délais de livraison sont compris entre : - 7 et 10 jours ouvrés pour une livraison en point relais ( France métropolitaine uniquement ), - 10 et 14 jours ouvrés pour une livraison "" "" classique "" "" à domicile, - 7 et 10 jours ouvrés pour une livraison "" "" express "" "" à domicile."	['deliveryTime']	[{'delivery': 'livrée'}, {'date': 'semaine prochaine'}, {'place': 'Martinique'}, {'place': 'métropole'}, {'date': 'samedi'}, {'delivery': 'livraison'}, {'home': 'chez mon fils'}, {'city': '_City1_'}]	[{'Store name': 'Parfum moins cher'}, {'error': 'yes'}, {'step': 'authentification'}, {'email': '_Email1_'}, {'reinit': 'yes'}]
	Merci	 je vous en prie	['thanks']	[]	[{'Store name': 'Parfum moins cher'}, {'error': 'yes'}, {'step': 'authentification'}, {'email': '_Email1_'}, {'reinit': 'yes'}]
					
conv1646	 bonjour. a ce jour je n'ai pas reçu ma commande	 je regarde, je vous demande un instant.  votre commande a bien été expédiée par nos services le 09 Juillet. comme indiqué lors du passage de votre commande, le délai de livraison avec l'option choisie est généralement compris entre 7 et 10 jours ouvrés à partir de la date d'expédition. je vous invite à suivre l'acheminement de votre colis :  https://www.chronopost.fr/tracking-no-cms/suivi-page?langue=fr&listeNumerosLT=XT04118950FR	['deliveryNews']	[]	[{'Store name': 'Parfum moins cher'}]
	 et ?	 le délai de livraison avec l'option choisie est généralement compris entre 7 et 10 jours ouvrés à partir de la date d'expédition.  le délai de livraison n'est pas encore arrivé à son terme  merci de patienter	['autre']	[]	[{'Store name': 'Parfum moins cher'}]
	 7 +10 ça fait bien 17	 le colis a été expédié le 09 Juillet  la livraison est donc comprise entre le 13 et 19 juillet	['deliveryTime']	[]	[{'Store name': 'Parfum moins cher'}, {'date': '09/07'}]
	 ok	 avez vous d'autres questions ?	['oui']	[]	[{'Store name': 'Parfum moins cher'}, {'date': '09/07'}]
	 non merci. on verra le 19	 au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['non', 'thanks']	[{'date': 'le 19'}]	[{'Store name': 'Parfum moins cher'}, {'date': '09/07'}]
					
conv1647	 bonjour, je voudrais payer mon achat de 135,96 Euros avec ma carde américaine MasterCard, débit.   le paiement a été refuse.   vous ne travaillez pas avec des cartes américaines ?4   mail : _Email1_5   IT s written : payment could not be accepted	 je vous invite à passer par Paypal Monsieur	['PaymentRefused']	[{'tool': 'carde américaine MasterCard'}, {'payment': 'paiement'}, {'tool': 'cartes américaines'}, {'email': '_Email1_'}, {'payment': 'payment'}]	[{'Store name': 'Parfum moins cher'}, {'payment_tool': 'cb'}, {'error': 'yes'}]
	 mauvaise expérience par Paypal	 paypal est le moyen de paiement le plus sur	['PaymentTool']	[{'tool': 'Paypal'}]	[{'Store name': 'Parfum moins cher'}, {'payment_tool': 'cb'}, {'error': 'yes'}, {'paypal': ' no paypal'}]
	 et je ne peux revenir en arrière etc   OK je vais abandonner	 au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['CancelOrder']	[{'cancel': 'abandonner'}]	[{'Store name': 'Parfum moins cher'}, {'payment_tool': 'cb'}, {'error': 'yes'}, {'paypal': ' no paypal'}]
					
conv1661	 bonjour,   j'ai commandé un parfum la semaine dernière, commande n° 00. je ne l'ai toujours pas reçu. j'ai appeler Chronopost qui m'a indiquer que le colis est toujours chez vous   qu'en est il ?	 j'effectue les recherches nécessaires, je vous demande un instant.  je vous invite à suivre le lien suivant.  https://www.chronopost.fr/tracking-no-cms/suivi-page?langue=fr&listeNumerosLT=XT12387145FR  votre colis a bien été pris en charge par le transporteur, il est actuellement en transit aérien. dès son arrivée sur le sol français, c'est Chronopost qui finalisera la commande.  A ce stade c'est normal et habituel compte tenu de nos délais. le lien va évoluer dès l'arrivée en France  la livraison est estimée la semaine prochaine	['deliveryNews']	[{'article': 'parfum'}, {'date': 'la semaine dernière'}, {'order': '00'}, {'transporter': 'Chronopost'}, {'store': 'chez vous'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
	 d'accord merci au revoir	au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['goodbye']	[]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
					
conv1708	 : rebonjour je ne peux pas téléchargé les commandes de votre site	 je suis désolée je ne comprends pas votre demande  vous ne pouvez pas visualiser votre propres commandes ?	['autre']	[]	[{'Store name': 'Parfum moins cher'}]
	 : dans mon compte les fichiers pdf je ne peux pas les télécharger   : commande No 00 et les anciennes commandes   : je ne comprends pas car sur les autres sites je peux télécharger mes factures relatives aux commandes   : dans mon compte   : comment puis je faire ?	au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['CustomerComplaint']	[{'billing': 'factures'}, {'order': '00'}, {'website': 'sites'}, {'account': 'compte'}]	[{'Store name': 'Parfum moins cher'}]
					
conv1741	 bonjour numéro 00 _Email1_ je voulais savoir quand je reçois mon parfum	 je regarde, je vous demande un instant.  votre commande a bien été expédiée par nos services le 10 Janvier. comme indiqué lors du passage de votre commande, le délai de livraison avec l'option choisie est généralement compris entre 7 et 10 jours ouvrés à partir de la date d'expédition. votre colis devrait donc être remis dans le point relais que vous avez choisi dans les prochains jours.	['deliveryNews']	[{'order': '00'}, {'email': '_Email1_'}, {'article': 'parfum'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
	 merci bonne journée	au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['goodbye']	[]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
					
conv1761	 où en est ma commande je n'ai eu que 3 produits sur 4 commande du 18juillet on est le 30	 votre second colis est actuellement en transit vers la France et devrait arriver sur le territoire Français ce jour ou demain pour une livraison prévue en cette fin de semaine.  comme indiqué par email lors de l'expédition de vos colis. votre colis XT70996874FR peut mettre jusqu'à 5 jours supplémentaires avant de vous parvenir.	['missingItem']	[{'date': '18juillet'}, {'date': 'le 30'}]	[{'Store name': 'Parfum moins cher'}]
	 pourquoi je n'ai pas eu de message pour me prévenir des références du 2eme colis avec un numéro de suivi	 deux liens de suivi vous ont été transmis par email.  https://www.chronopost.fr/tracking-no-cms/suivi-page?langue=fr&listeNumerosLT=XT70996874FR voici votre lien de suivi	['ConfirmationOrder']	[{'channel': 'message'}, {'follow-up': 'numéro de suivi'}]	[{'Store name': 'Parfum moins cher'}, {'email': 'not recieved'}]
	 mais je n'ai pas eu de mail pour me prévenir que ma commande était en 2 colis je l'ai su par le relais et pas eu de message pour me faire part de délai etc 20 jours pour la livraison ce n'est pas ce que vous proposez lors des commandes et des frais de port proposes c'est a réfléchir par deux fois avant de repasser commande chez vous désolée mais je reprendrai nocive ou Sephora	 un instant SVP, je consulte les emails transactionnels  vous avez bien reçu un email contenant votre second lien de suivi et vous informant d'un éventuel délai supplémentaire. cependant, vous n'avez pas ouvert ni cliqué cet email.  vous l'avez reçu le 19/07 à 12h6. si vous n'avez pas connaissance de cet email, je vous invite à consulter vos indésirables. il est possible qu'il s'y situe	['CustomerComplaint']	[{'channel': 'mail'}, {'pr': 'relais'}, {'channel': 'message'}, {'delivery': 'livraison'}, {'fdp': 'frais de port'}, {'concurrence': 'nocive'}, {'concurrence': 'Sephora'}]	[{'Store name': 'Parfum moins cher'}, {'email': 'not recieved'}, {'complaint': 'splitted delivery'}]
	 quand ? heure et date svp	 vous l'avez reçu le 19/07 à 12h6. si vous n'avez pas connaissance de cet email, je vous invite à consulter vos indésirables. il est possible qu'il s'y situe	['ConfirmationOrder']	[]	[{'Store name': 'Parfum moins cher'}, {'email': 'not recieved'}, {'complaint': 'splitted delivery'}, {'email': 'details'}]
	 ok je regarde0   dommage que les + vieux messages des indésirables soient du 23 juillet mais dans la liste des indésirables il n'y a pas aucun de votre site etc ce qu'il serait bien est que vous me l'envoyez de nouveau ce mail etc merci	" je vous confirme que vous avez bien réceptionné cet email. notre service automatique d'emails transactionnels à bien reçu un accusé réception de votre boite email.  malheureusement, ces emails étant automatique, je ne peux vous renvoyer l'email. cependant, je peux vous le copier ici :  bonjour , votre commande #732398 vient d'être expédiée. pour des raisons logistiques, le ( s ) produit ( s ) suivant ( s ) pourrait faire l'objet d'un délai de livraison supplémentaire par rapport à celui indiqué initialement : HM ( x ) ce délai additionnel - n'excédant pas cinq jours maximum - ne remet pas en cause les modalités de livraison choisies lors du passage de votre commande ( point relais ou adresse de livraison sélectionnée ). veuillez aussi noter que votre commande est expédiée en plusieurs colis. cela n'a cependant aucune incidence sur le coût des frais de port. vous pouvez suivre l'avancement de la livraison à l'adresse suivante : http://www.chronopost.fr/expedier/inputLTNumbers.do?chronoNumbers=XT70996874FR vous pouvez accéder au suivi de votre commande et télécharger votre facture dans "" "" historique des commandes "" "" de la rubrique "" "" mon compte "" "" sur notre site."	['oui', 'ConfirmationOrder']	[{'date': '23 juillet'}, {'website': 'site'}, {'channel': 'mail'}]	[{'Store name': 'Parfum moins cher'}, {'email': 'not recieved'}, {'complaint': 'splitted delivery'}, {'email': 'details'}, {'email': 'resend'}]
	 ok j'ai enregistre le suivi etc etc mais je reste septique pour le 2eme mail étant donne que le 1er mail y a pas eu de problème pour le réception et le suivi4   bonne journée	 je vous souhaite une bonne journée également - 	['oui', 'goodbye']	[{'follow-up': 'suivi'}, {'channel': 'mail'}]	[{'Store name': 'Parfum moins cher'}, {'email': 'not recieved'}, {'complaint': 'splitted delivery'}, {'email': 'details'}, {'email': 'resend'}]
					
conv1763	 bonjour, je n'ai pas reçu ma commande N # 00 pour _Email1_, passé le 10/06/19 Mercie de votre réponse.	 je regarde, je vous demande un instant.  votre commande a bien été expédiée par nos services le 10 Juin. comme indiqué lors du passage de votre commande, le délai de livraison avec l'option choisie est généralement compris entre 7 et 10 jours ouvrés à partir de la date d'expédition. votre colis devrait donc être remis dans le point relais que vous avez choisi dans les prochains jours.	['deliveryNews']	[{'order': '00'}, {'email': '_Email1_'}, {'date': '10/06/19'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
	 pour votre réponse, bonne journée a vous.	au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['goodbye']	[]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
					
conv1777	 bonjour   ma commande N 00 apparaît toujours en dépôt chez l'expéditeur alors qu'il était indiqué que la livraison était prévue pour samedi en point relais. est ce normal ? je m'inquiète un peu	 je regarde, je vous demande un instant.	['deliveryNews']	[{'order': '00'}, {'delivery': 'livraison'}, {'date': 'samedi'}, {'pr': 'point relais'}, {'mood': 'inquiète'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}, {'status': 'in deposit'}]
	 merci	 votre commande a bien été expédiée par nos services le 27 Juin. comme indiqué lors du passage de votre commande, le délai de livraison avec l'option choisie est généralement compris entre 7 et 10 jours ouvrés à partir de la date d'expédition. je vous invite à suivre l'acheminement de votre colis :  https://www.chronopost.fr/tracking-no-cms/suivi-page?langue=fr&listeNumerosLT=XT02137718FR	['thanks']	[]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}, {'status': 'in deposit'}]
	 oui toujours en dépôt alors ?	" comme nous l'indiquons dans l'email contenant le lien de suivi, le statut peut rester en "" "" envoi prêt chez l'expéditeur "" "" durant quelques jours sans que cela n'impacte la bonne livraison de votre colis. ceci est lié au fait que Chronopost ne propose pas de suivi aux Etats-unis ; vous pourrez constater une mise à jour du suivi à l'arrivée du colis sur le territoire français dans les prochains jours."	['AskDetails']	[{'status': 'en dépôt'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}, {'status': 'in deposit'}]
	 d'accord   merci beaucoup	 je vous en prie  au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['oui', 'thanks']	[]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}, {'status': 'in deposit'}]
					
conv1799	bonjour puis je avoir un code promo pour mon anniversaire ?	 pouvez vous m'indiquer votre adresse mail ?	['Discount']	[{'discount': 'code promo'}]	[{'Store name': 'Parfum moins cher'}]
	_Email1_3  _Email2_	 je vous demande un instant	['rien']	[{'email': '_Email1_'}]	[{'Store name': 'Parfum moins cher'}, {'email': '_Email2_'}]
	merci	 je vous invite à saisir le code PANTALEO afin de bénéficier de 5 % de réduction	['thanks']	[]	[{'Store name': 'Parfum moins cher'}, {'email': '_Email2_'}, {'code': 'PANTALEO'}]
	Merci	au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['thanks']	[]	[{'Store name': 'Parfum moins cher'}, {'email': '_Email2_'}, {'code': 'PANTALEO'}]
					
conv1840	bonjour je souhaite commander aujourd'hui un parfum est ce que j'aurai ne réduction en plus ? si oui quel code, merci	 je vous invite à saisir le code REMIP	['Discount']	"[{'article': 'parfum'}, {'date': ""aujourd'hui""}, {'discount': 'réduction'}, {'discount': 'code'}]"	[{'Store name': 'Parfum moins cher'}]
	. _Email1_.  Merci	au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['goodbye']	[{'email': '_Email1_'}]	[{'Store name': 'Parfum moins cher'}]
					
conv1851	 bonjour,   c'est la troisième fois que je commande mon parfum Insolence de chez vous. j'ai été très satisfaite les deux premières fois mais j'ai reçu hier ma troisième commande et quelle déception : il s'agit de l'ancien conditionnement et l'eau de parfum a viré : cela ne sent pas du tout comme d'habitude. je suis très déçue. pouvez vous faire quelque chose ? cela m'ennuie de renoncer à commander chez vous   mon adresse mail est : _Email1_	 pouvez vous nous transmettre une photo du produit reçu par mail ?	['damagedPackage']	[{'article': 'Insolence de '}, {'store': 'chez vous'}, {'mood': 'déception'}, {'damaged': 'viré'}, {'mood': 'déçue'}, {'email': '_Email1_'}]	[{'Store name': 'Parfum moins cher'}]
	 ma commande commande 00	au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['rien']	[{'order': '00'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
					
conv1862	 Commande 00  bonjour je n'ai reçu que un colis sur les deux est ce normal ? Merci	 Merci de me confirmer la partie réceptionnée, je vous prie.	['missingItem']	[{'order': '00'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
	 j'ai reçu le parfum angel   il manque le parfum homme Kenzo	 merci  j'effectue les recherches nécessaires, je vous demande un instant.	['missingItem']	[{'article': 'angel'}, {'article': 'Kenzo'}, {'target': 'homme'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}, {'article': 'Kenzo'}]
	 merci	 je vous invite à suivre le lien suivant.  https://www.chronopost.fr/tracking-no-cms/suivi-page?langue=fr&listeNumerosLT=XT00867630FR  comme nous vous l'avons spécifié par email lors du traitement de votre commande, celle ci a été expédiée en deux colis. voici le lien du 2ème colis qui devrait vous être livré dans les prochains jours :  je suis à votre service, n'hésitez pas si vous avez d'autres questions ou besoin de conseils.	['thanks']	[]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}, {'article': 'Kenzo'}]
	 Merci j'attend le deuxième colis1   bonne journée	au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['thanks', 'goodbye', 'autre']	[]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}, {'article': 'Kenzo'}]
					
conv1870	 00   ma commande est notée toujours en cours de livraison ? .	 votre commande a bien été expédiée par nos services le 02 Novembre. comme indiqué lors du passage de votre commande, le délai de livraison avec l'option choisie est généralement compris entre 7 et 10 jours ouvrés à partir de la date d'expédition. je vous invite à suivre l'acheminement de votre colis :  https://www.chronopost.fr/tracking-no-cms/suivi-page?langue=fr&listeNumerosLT=XT19783168FR	['deliveryNews']	[{'order': '00'}, {'status': 'en cours'}, {'delivery': 'livraison'}]	[{'Store name': 'Parfum moins cher'}]
					
conv1880	 pourriez vous me dire si ma commande 00 est partie. Merci	 je regarde, je vous demande un instant  votre colis sera livré cette semaine ou lundi au plus tard	['deliveryNews']	[{'order': '00'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
	 pourriez vous me communiquer sur mon portable dès que le colis arrive dans le point relais ?4   voici mon N _Phone1_. Merci	 Chronopost vous avertira par mail et sms	['ReceptionAlert']	[{'device': 'portable'}, {'pr': 'point relais'}, {'phone': ' N'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
	 Super. Merci bonne journée	 au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['goodbye', 'thanks']	[]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
					
conv1882	_City1_ : j'ai commandé un parfum pouvez vous me dire où en est ma commande _Email1_2  _City1_ : ma commande porte le N 00	 je regarde, je vous demande un instant	['deliveryNews']	[{'article': 'parfum'}, {'email': '_Email1_'}, {'order': '00'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
	_City1_ : ok	 votre colis vous sera livré cette semaine ou lundi au plus tard	['rien']	[]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
					
conv1915	 je veux annuler ma commande 00	 j'effectue les recherches nécessaires, je vous demande un instant. »	['CancelOrder']	[{'cancel': 'annuler'}, {'order': '00'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
	 mon adresse mail est _Email1_ et ma commande est le 00	 Merci de bien vouloir rester en ligne je vous prie.  votre commande a bien été prise en charge et ne peut plus être remboursée à ce stade	['rien']	[{'email': '_Email1_'}, {'channel': 'mail'}, {'order': '00'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
	 si la commande n'est pas encore partie, vous pouvez le faire   j'ai pas fait attention je croyais que c'était un parfum et pas un savon vous pouvez me faire un avoir ?	 votre commande a bien été prise en charge et ne peut plus être remboursée à ce stade  vous aurez la possibilité de nous renvoyer cet article	['CancelOrder']	[{'refund': 'un avoir'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
	 si je vous renvoi le colis je serais remboursé ?	au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['Refund']	[{'resend': 'renvoi'}, {'refund': 'remboursé'}]	[{'Store name': 'Parfum moins cher'}, {'order_nbr': '00'}]
					
conv1929	 bonjour, je souhaite acheter 4 flacons de parfum mais je trouve le tarif de livraison très cher etc ! feriez vous vous un geste commercial ? Merci	 les frais de port que vous jugez élevés s'expliquent par le fait que nos produits sont expédiés depuis les Etats-Unis et que nous faisons le choix d'une livraison rapide avec numéro de suivi pour chaque colis. de plus, nous nous engageons à vous rembourser intégralement les frais de douanes au cas où vous seriez amené à en régler à la livraison de votre commande.	['deliveryCost', 'Discount']	[{'fdp': 'tarif de livraison'}, {'discount': ' geste commercial'}]	[{'Store name': 'Parfum moins cher'}]
	 très bien, merci je vais commander sur un autre site,	 si vous disposez d'un compte Facebook, vous pouvez profiter d'une remise de 5 % sur votre panier, en rejoignant notre page officielle : https://www.facebook.com/ParfumsMoinsCher/ < https://www.facebook.com/ParfumsMoinsCher/ >  au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente journée.	['goodbye']	[]	[{'Store name': 'Parfum moins cher'}]
					
conv1930	 00 numéro de commande	 nous étions en ligne me semble t il ?  nous avons été coupé  j'effectue les recherches nécessaires, je vous demande un instant.  je vous invite à suivre le lien suivant.  http://www.chronopost.fr/tracking-no-cms/suivi-page?langue=fr&listeNumerosLT=XT00256385FR  votre colis a bien été pris en charge par le transporteur, il est actuellement en transit aérien. dès son arrivée sur le sol français, c'est Chronopost qui finalisera la commande.  je suis à votre service, n'hésitez pas si vous avez d'autres questions ou besoin de conseils.	['deliveryNews']	[{'order': '00'}]	[{'Store name': 'Parfum moins cher'}]
	 j'espère le recevoir ace Xe week-end le cadeau de la fête des pères	" je vous rappelle nos délais  les délais de livraison sont compris entre : - 7 et 10 jours ouvrés pour une livraison en point relais ( France métropolitaine uniquement - 10 et 14 jours ouvrés pour une livraison "" "" classique "" "" à domicile - 7 et 10 jours ouvrés pour une livraison "" "" express "" "" à domicile  je suis à votre service, n'hésitez pas si vous avez d'autres questions ou besoin de conseils."	['deliveryTime']	[{'date': 'week-end'}, {'present': 'cadeau'}]	[{'Store name': 'Parfum moins cher'}]
	 oui j'entend j'espère juste la recevoir3   Merci	 au nom de toute l'équipe ParfumsMoinsCher.com, je vous souhaite une excellente soirée.	['oui']	[]	[{'Store name': 'Parfum moins cher'}]
					
